"sleep_hrs","steps"
7.3,7954
5.95,6747
6.25,7085
6.65,7037
8.06666666666667,9547
6.8,12829
6.35,11670
7.18333333333333,12298
7.93333333333333,12153
5.91666666666667,6506
5.96666666666667,6457
7.16666666666667,8871
5.86666666666667,12491
8.08333333333333,12105
5.85,11526
8.95,12491
8.56666666666667,11043
6.51666666666667,12877
5.81666666666667,12829
8.86666666666667,12153
8.38333333333333,10898
7.83333333333333,9064
6.36666666666667,6023
8.16666666666667,12056
5.9,7954
6.85,11526
5.9,12539
7.96666666666667,12056
6.3,12587
8.38333333333333,10801
8.91666666666667,12008
8.73333333333333,11477
8.56666666666667,12056
6.55,12829
6.21666666666667,11622
5.61666666666667,6940
5.81666666666667,12587
7.03333333333333,12636
7.28333333333333,8436
5.85,11574
5.96666666666667,6506
5.98333333333333,12346
6.28333333333333,6602
6.2,5830
8.08333333333333,10753
5.91666666666667,6023
6.2,7761
6.06666666666667,12008
8.83333333333333,11188
8.38333333333333,9981
6.91666666666667,7326
6.06666666666667,7326
6.18333333333333,7181
6,7326
6.15,5396
7.68333333333333,9209
8.68333333333333,11574
7.36666666666667,8195
6.86666666666667,7085
6.25,5685
7.33333333333333,7954
6,7375
6.1,5685
6.88333333333333,11863
6.4,7471
5.81666666666667,5878
5.81666666666667,11381
8.56666666666667,11236
5.81666666666667,6602
6.61666666666667,11477
5.88333333333333,6988
5.86666666666667,5830
7.1,8195
5.96666666666667,7375
8.65,10657
9.03333333333333,11477
5.85,11477
6.86666666666667,12056
7.05,7326
7,12684
6.8,6747
6.3,6988
8.46666666666667,10271
7.58333333333333,8533
7.65,9353
6.88333333333333,6940
7.7,12056
6.81666666666667,6892
8.45,12201
6.45,7133
6.75,12829
6.15,7857
5.7,6216
6.08333333333333,5540
5.58333333333333,6892
7.36666666666667,8629
7.05,11670
7.4,12105
9.16666666666667,12346
6.96666666666667,7230
8.93333333333333,11381
8.13333333333333,10753
5.98333333333333,11719
8.78333333333333,11622
6.58333333333333,12877
8.76666666666667,11526
5.61666666666667,6844
5.8,6747
8.35,10319
7.85,8871
6.91666666666667,12636
7.06666666666667,7664
9.01666666666667,12443
5.98333333333333,11815
6.98333333333333,12587
6.86666666666667,7568
8.63333333333333,11188
7.08333333333333,8099
6.08333333333333,7857
6.26666666666667,6023
7.23333333333333,7954
8.33333333333333,10222
6.61666666666667,6747
8.51666666666667,10319
8.85,11670
8.15,9643
6.11666666666667,5347
5.78333333333333,11767
8.76666666666667,12008
5.85,7133
7.63333333333333,12250
5.76666666666667,6409
5.98333333333333,7905
6.3,7085
9.03333333333333,12153
7.68333333333333,8967
6.35,6313
5.65,6747
8.58333333333333,10415
5.98333333333333,6361
7.16666666666667,8243
6.71666666666667,7616
5.78333333333333,11863
7.08333333333333,7616
8.86666666666667,12250
6.46666666666667,12684
6.46666666666667,6023
8.03333333333333,12008
6.4,5975
6.26666666666667,11574
8.13333333333333,10077
6.06666666666667,7905
6,12443
7.4,8436
6.91666666666667,11526
5.96666666666667,12056
6.06666666666667,5202
8.25,10077
7.36666666666667,8002
6.91666666666667,11574
6.05,7181
6.1,12346
8.36666666666667,10898
6,5975
8.93333333333333,11043
6.68333333333333,11429
5.8,11719
6,11912
8.16666666666667,12105
8.45,10271
6.78333333333333,7616
8.98333333333333,11284
5.6,6988
6.58333333333333,7181
7.96666666666667,9402
5.78333333333333,12394
8.1,10029
7.9,9595
6.11666666666667,5492
7.73333333333333,8629
6.6,6651
7.46666666666667,8436
5.85,7809
7.38333333333333,8340
8.05,9933
7.93333333333333,12056
5.78333333333333,7471
9.01666666666667,12105
7.6,8485
5.8,7568
6,11767
8.13333333333333,10657
6.95,11670
7.13333333333333,7857
7.23333333333333,8678
5.85,12443
5.91666666666667,7664
7.3,7712
6.01666666666667,6506
6.1,6602
8.58333333333333,10995
5.78333333333333,12974
7.28333333333333,12250
6.26666666666667,7616
6.38333333333333,5878
5.66666666666667,7085
8.61666666666667,10657
8.66666666666667,10705
8.98333333333333,11574
6.18333333333333,12587
7.33333333333333,8340
6.95,12780
7.18333333333333,8147
6.38333333333333,7326
9.11666666666667,11381
8.33333333333333,12008
7.48333333333333,9064
5.86666666666667,11767
5.8,12346
9.01666666666667,12587
7.9,9016
6.66666666666667,6457
8.26666666666667,10608
8.98333333333333,11381
6.01666666666667,5926
5.58333333333333,6747
6.75,12877
8.56666666666667,10464
5.78333333333333,7712
8.81666666666667,11574
6.3,7712
8.95,12298
7.1,11670
5.91666666666667,7616
8.16666666666667,9498
7.48333333333333,8581
6.05,6506
7.78333333333333,9112
6.06666666666667,7230
6.01666666666667,7278
5.65,6988
7.15,12105
8.28333333333333,9836
8.35,10222
6.11666666666667,7181
6.31666666666667,7568
6.45,11670
8.93333333333333,11091
6.75,6940
5.91666666666667,6457
7.08333333333333,12056
7.55,8436
5.8,7181
5.68333333333333,6361
6.3,6023
5.81666666666667,11719
8.61666666666667,12153
5.8,7375
7.33333333333333,8243
6.06666666666667,8002
6.71666666666667,6747
7.3,7761
6.18333333333333,12636
6.3,11719
6.28333333333333,6940
5.8,11960
6.38333333333333,6554
5.75,12153
5.78333333333333,12201
8.73333333333333,10657
8.35,10753
6.98333333333333,7905
5.98333333333333,12491
7.2,8823
5.95,6313
7.73333333333333,8726
8.71666666666667,10560
9.15,11670
7.16666666666667,7616
6.6,6699
8.3,9836
8.35,12201
8.98333333333333,11526
5.85,11429
8.3,10319
5.76666666666667,12008
6.45,6892
5.98333333333333,5347
6.68333333333333,7181
6.3,6168
8.78333333333333,12153
8.28333333333333,12056
6.48333333333333,11477
6.36666666666667,7568
7.46666666666667,9112
7.13333333333333,12346
7.85,9691
7.3,8388
6.41666666666667,12829
8.43333333333333,10705
7.88333333333333,9160
8.06666666666667,9450
6.7,6651
6.56666666666667,7230
5.91666666666667,12587
9.08333333333333,12008
6.75,12732
7.96666666666667,9884
6.06666666666667,12250
5.81666666666667,7809
8.65,10560
9.16666666666667,12298
6.01666666666667,12394
8.1,9498
7.13333333333333,7809
5.75,6409
7.5,8823
7.18333333333333,8678
7.06666666666667,12298
6.05,12105
6.9,11574
7,7278
7.06666666666667,12491
8.33333333333333,9788
8.13333333333333,10222
6.68333333333333,12877
6.98333333333333,7857
6.8,7616
7.45,12105
5.98333333333333,12394
6.65,12877
8.81666666666667,10801
6.31666666666667,6602
8.2,12105
6.96666666666667,12780
6.6,12732
5.61666666666667,6699
7.45,8678
6.95,12587
6.56666666666667,6699
